"","Word","ConcValCombo"
"41","build","concrete-positive"
"42","cook","concrete-positive"
"43","cuddle","concrete-positive"
"44","eat","concrete-positive"
"45","hug","concrete-positive"
"46","kiss","concrete-positive"
"47","running","concrete-positive"
"48","sail","concrete-positive"
"49","smile","concrete-positive"
"50","swing","concrete-positive"
"51","bleed","concrete-negative"
"52","kill","concrete-negative"
"53","murder","concrete-negative"
"54","puke","concrete-negative"
"55","scratch","concrete-negative"
"56","slap","concrete-negative"
"57","smack","concrete-negative"
"58","spit","concrete-negative"
"59","stab","concrete-negative"
"60","vomit","concrete-negative"
"61","annoy","abstract-negative"
"62","befall","abstract-negative"
"63","criticize","abstract-negative"
"64","exploit","abstract-negative"
"65","loathe","abstract-negative"
"66","obsess","abstract-negative"
"67","resent","abstract-negative"
"68","scorn","abstract-negative"
"69","violate","abstract-negative"
"70","worry","abstract-negative"
"71","imagine","abstract-positive"
"72","enlighten","abstract-positive"
"73","admired","abstract-positive"
"74","cherish","abstract-positive"
"75","hope","abstract-positive"
"76","believe","abstract-positive"
"77","fulfill","abstract-positive"
"78","esteem","abstract-positive"
"79","justify","abstract-positive"
"80","respect","abstract-positive"
