Word,ConcValCombo_moderate,V.Mean.Sum,Conc.M,WeightedSum
disown,abstract-negative,2.29,1.56,1.925
disown,abstract-negative,2.29,1.56,1.925
hate,abstract-negative,1.96,1.97,1.9649999999999999
hate,abstract-negative,1.96,1.97,1.9649999999999999
profane,abstract-negative,2.47,1.75,2.1100000000000003
profane,abstract-negative,2.47,1.75,2.1100000000000003
degrade,abstract-negative,2.62,1.64,2.13
degrade,abstract-negative,2.62,1.64,2.13
displease,abstract-negative,2.63,1.71,2.17
displease,abstract-negative,2.63,1.71,2.17
distrust,abstract-negative,2.95,1.44,2.1950000000000003
distrust,abstract-negative,2.95,1.44,2.1950000000000003
annoy,abstract-negative,2.49,1.93,2.21
annoy,abstract-negative,2.49,1.93,2.21
violate,abstract-negative,2.61,1.88,2.245
violate,abstract-negative,2.61,1.88,2.245
condemn,abstract-negative,2.62,1.96,2.29
condemn,abstract-negative,2.62,1.96,2.29
intimidate,abstract-negative,2.84,1.75,2.295
intimidate,abstract-negative,2.84,1.75,2.295
kiss,concrete-positive,7.78,4.48,6.130000000000001
kiss,concrete-positive,7.78,4.48,6.130000000000001
sing,concrete-positive,7.5,4.34,5.92
sing,concrete-positive,7.5,4.34,5.92
laugh,concrete-positive,7.56,4.21,5.885
laugh,concrete-positive,7.56,4.21,5.885
bathe,concrete-positive,7.5,4.19,5.845000000000001
bathe,concrete-positive,7.5,4.19,5.845000000000001
sleep,concrete-positive,7.22,4.44,5.83
sleep,concrete-positive,7.22,4.44,5.83
dance,concrete-positive,7.27,4.32,5.795
dance,concrete-positive,7.27,4.32,5.795
smooch,concrete-positive,7.35,4.21,5.779999999999999
smooch,concrete-positive,7.35,4.21,5.779999999999999
eat,concrete-positive,7.1,4.44,5.77
eat,concrete-positive,7.1,4.44,5.77
swing,concrete-positive,6.95,4.54,5.745
swing,concrete-positive,6.95,4.54,5.745
cook,concrete-positive,7.12,4.32,5.720000000000001
cook,concrete-positive,7.12,4.32,5.720000000000001
hope,abstract-positive,7.48,1.25,3.115
hope,abstract-positive,7.48,1.25,3.115
enlighten,abstract-positive,7.38,1.48,2.95
enlighten,abstract-positive,7.38,1.48,2.95
excite,abstract-positive,7.79,1.97,2.91
excite,abstract-positive,7.79,1.97,2.91
zing,abstract-positive,6.95,1.23,2.8600000000000003
zing,abstract-positive,6.95,1.23,2.8600000000000003
inspire,abstract-positive,7.42,1.74,2.84
inspire,abstract-positive,7.42,1.74,2.84
imagine,abstract-positive,7.2,1.53,2.835
imagine,abstract-positive,7.2,1.53,2.835
fulfill,abstract-positive,7.33,1.78,2.775
fulfill,abstract-positive,7.33,1.78,2.775
believe,abstract-positive,7.05,1.55,2.75
believe,abstract-positive,7.05,1.55,2.75
admired,abstract-positive,7.25,1.84,2.705
admired,abstract-positive,7.25,1.84,2.705
wish,abstract-positive,7.14,1.77,2.6849999999999996
wish,abstract-positive,7.14,1.77,2.6849999999999996
vomit,concrete-negative,1.98,4.75,1.385
vomit,concrete-negative,1.98,4.75,1.385
puke,concrete-negative,1.84,4.59,1.375
puke,concrete-negative,1.84,4.59,1.375
barf,concrete-negative,2.32,4.61,1.1450000000000002
barf,concrete-negative,2.32,4.61,1.1450000000000002
carjack,concrete-negative,2.32,4.39,1.035
carjack,concrete-negative,2.32,4.39,1.035
piss,concrete-negative,2.73,4.73,1.0000000000000002
piss,concrete-negative,2.73,4.73,1.0000000000000002
bleed,concrete-negative,2.47,4.4,0.9650000000000001
bleed,concrete-negative,2.47,4.4,0.9650000000000001
convict,concrete-negative,2.28,4.11,0.9150000000000003
convict,concrete-negative,2.28,4.11,0.9150000000000003
slap,concrete-negative,2.95,4.72,0.8849999999999998
slap,concrete-negative,2.95,4.72,0.8849999999999998
spit,concrete-negative,3.0,4.71,0.855
spit,concrete-negative,3.0,4.71,0.855
weep,concrete-negative,2.88,4.54,0.8300000000000001
weep,concrete-negative,2.88,4.54,0.8300000000000001
