level_0,Word,V.Mean.Sum,Conc.M,ConcValCombo_moderate,index
0,disown,2.29,1.56,abstract-negative,
1,profane,2.47,1.75,abstract-negative,
2,degrade,2.62,1.64,abstract-negative,
3,displease,2.63,1.71,abstract-negative,
4,intimidate,2.84,1.75,abstract-negative,
5,deceive,2.95,1.68,abstract-negative,
6,distrust,2.95,1.44,abstract-negative,
7,envy,3.05,1.69,abstract-negative,
8,jeopardize,3.1,1.74,abstract-negative,
9,dislike,3.25,1.7,abstract-negative,
0,kiss,7.78,4.48,concrete-positive,
1,sing,7.5,4.34,concrete-positive,
2,dance,7.27,4.32,concrete-positive,
3,sleep,7.22,4.44,concrete-positive,
4,cook,7.12,4.32,concrete-positive,
5,eat,7.1,4.44,concrete-positive,
6,swing,6.95,4.54,concrete-positive,
7,sail,6.84,4.59,concrete-positive,
8,skate,6.74,4.56,concrete-positive,
9,swim,6.71,4.43,concrete-positive,
0,hope,7.48,1.25,concrete-positive,0.0
1,inspire,7.42,1.74,concrete-positive,1.0
2,enlighten,7.38,1.48,concrete-positive,2.0
3,imagine,7.2,1.53,concrete-positive,3.0
4,believe,7.05,1.55,concrete-positive,4.0
5,fascinate,7.0,1.75,concrete-positive,5.0
6,zing,6.95,1.23,concrete-positive,6.0
7,inspired,6.89,1.55,concrete-positive,7.0
8,know,6.82,1.68,concrete-positive,8.0
9,deserve,6.77,1.69,concrete-positive,9.0
0,vomit,1.98,4.75,concrete-negative,
1,piss,2.73,4.73,concrete-negative,
2,slap,2.95,4.72,concrete-negative,
3,spit,3.0,4.71,concrete-negative,
5,barf,2.32,4.61,concrete-negative,
6,puke,1.84,4.59,concrete-negative,
7,tear,3.14,4.56,concrete-negative,
8,weep,2.88,4.54,concrete-negative,
9,ditch,3.2,4.5,concrete-negative,
10,bleed,2.47,4.4,concrete-negative,
