"","Word","ConcValCombo","Group","F_value","J_value"
"1","build","concrete-positive","A","negative","positive"
"2","cook","concrete-positive","A","negative","positive"
"3","cuddle","concrete-positive","A","negative","positive"
"4","eat","concrete-positive","A","negative","positive"
"5","hug","concrete-positive","A","negative","positive"
"6","kiss","concrete-positive","A","negative","positive"
"7","running","concrete-positive","A","negative","positive"
"8","sail","concrete-positive","A","negative","positive"
"9","smile","concrete-positive","A","negative","positive"
"10","swing","concrete-positive","A","negative","positive"
"11","bleed","concrete-negative","A","negative","positive"
"12","kill","concrete-negative","A","negative","positive"
"13","murder","concrete-negative","A","negative","positive"
"14","puke","concrete-negative","A","negative","positive"
"15","scratch","concrete-negative","A","negative","positive"
"16","slap","concrete-negative","A","negative","positive"
"17","smack","concrete-negative","A","negative","positive"
"18","spit","concrete-negative","A","negative","positive"
"19","stab","concrete-negative","A","negative","positive"
"20","vomit","concrete-negative","A","negative","positive"
"21","annoy","abstract-negative","A","negative","positive"
"22","befall","abstract-negative","A","negative","positive"
"23","criticize","abstract-negative","A","negative","positive"
"24","exploit","abstract-negative","A","negative","positive"
"25","loathe","abstract-negative","A","negative","positive"
"26","obsess","abstract-negative","A","negative","positive"
"27","resent","abstract-negative","A","negative","positive"
"28","scorn","abstract-negative","A","negative","positive"
"29","violate","abstract-negative","A","negative","positive"
"30","worry","abstract-negative","A","negative","positive"
"31","imagine","abstract-positive","A","negative","positive"
"32","enlighten","abstract-positive","A","negative","positive"
"33","admired","abstract-positive","A","negative","positive"
"34","cherish","abstract-positive","A","negative","positive"
"35","hope","abstract-positive","A","negative","positive"
"36","believe","abstract-positive","A","negative","positive"
"37","fulfill","abstract-positive","A","negative","positive"
"38","esteem","abstract-positive","A","negative","positive"
"39","justify","abstract-positive","A","negative","positive"
"40","respect","abstract-positive","A","negative","positive"
"41","build","concrete-positive","B","positive","negative"
"42","cook","concrete-positive","B","positive","negative"
"43","cuddle","concrete-positive","B","positive","negative"
"44","eat","concrete-positive","B","positive","negative"
"45","hug","concrete-positive","B","positive","negative"
"46","kiss","concrete-positive","B","positive","negative"
"47","running","concrete-positive","B","positive","negative"
"48","sail","concrete-positive","B","positive","negative"
"49","smile","concrete-positive","B","positive","negative"
"50","swing","concrete-positive","B","positive","negative"
"51","bleed","concrete-negative","B","positive","negative"
"52","kill","concrete-negative","B","positive","negative"
"53","murder","concrete-negative","B","positive","negative"
"54","puke","concrete-negative","B","positive","negative"
"55","scratch","concrete-negative","B","positive","negative"
"56","slap","concrete-negative","B","positive","negative"
"57","smack","concrete-negative","B","positive","negative"
"58","spit","concrete-negative","B","positive","negative"
"59","stab","concrete-negative","B","positive","negative"
"60","vomit","concrete-negative","B","positive","negative"
"61","annoy","abstract-negative","B","positive","negative"
"62","befall","abstract-negative","B","positive","negative"
"63","criticize","abstract-negative","B","positive","negative"
"64","exploit","abstract-negative","B","positive","negative"
"65","loathe","abstract-negative","B","positive","negative"
"66","obsess","abstract-negative","B","positive","negative"
"67","resent","abstract-negative","B","positive","negative"
"68","scorn","abstract-negative","B","positive","negative"
"69","violate","abstract-negative","B","positive","negative"
"70","worry","abstract-negative","B","positive","negative"
"71","imagine","abstract-positive","B","positive","negative"
"72","enlighten","abstract-positive","B","positive","negative"
"73","admired","abstract-positive","B","positive","negative"
"74","cherish","abstract-positive","B","positive","negative"
"75","hope","abstract-positive","B","positive","negative"
"76","believe","abstract-positive","B","positive","negative"
"77","fulfill","abstract-positive","B","positive","negative"
"78","esteem","abstract-positive","B","positive","negative"
"79","justify","abstract-positive","B","positive","negative"
"80","respect","abstract-positive","B","positive","negative"
