level_0,index,Word,SocPhys.Mean,SocPhys.SD,V.Mean.Sum,V.SD.Sum,WeightedSum,Valence,SocPhys
0,177.0,moldy,1.85714285714286,2.26778683805536,1.95,0.94,0.2996780095437501,negative,physical
1,183.0,nauseous,2.8,2.16794833886788,1.95,1.85,0.36602583056606,negative,physical
2,88.0,excruciating,3.0,2.72029410174709,2.1,1.51,0.434852949126455,negative,physical
3,35.0,comatose,1.90909090909091,1.92117388356939,2.0,1.0,0.4939585127607602,negative,physical
4,188.0,obese,1.57142857142857,1.51185789203691,2.32,1.25,0.5647853396958298,negative,physical
5,168.0,lifeless,2.0,1.4142135623731,2.24,1.61,0.60789321881345,negative,physical
6,212.0,rancid,1.8125,1.10867789130417,2.38,1.72,0.681911054347915,negative,physical
7,229.0,seasick,2.75,1.98390963400489,1.89,1.29,0.6830451829975548,negative,physical
8,162.0,itchy,1.75,1.48064435037847,2.53,1.43,0.6846778248107648,negative,physical
9,236.0,smelly,1.90909090909091,1.70026735865542,2.68,1.46,0.7144117752177448,negative,physical
25,,brotherly,7.0,0.0,7.45,1.36,6.545,positive,social
163,,joyful,6.54545454545455,0.934198732993827,8.21,0.98,6.420627906230362,positive,social
32,,cheerful,6.6,0.547722557505166,8.0,1.41,6.321138721247417,positive,social
79,,easygoing,6.9375,0.25,7.03,1.35,6.183750000000001,positive,social
28,,carefree,6.6875,0.478713553878169,7.32,1.49,6.0193932230609155,positive,social
132,,hilarious,6.5625,0.813941029804985,7.8,1.54,6.004279485097507,positive,social
231,,selfless,6.8,0.447213595499958,7.11,1.49,5.986393202250021,positive,social
57,,dependable,6.6,0.547722557505166,7.24,1.34,5.976138721247417,positive,social
45,,courageous,6.25,1.64472739538448,8.05,0.71,5.972636302307761,positive,social
286,,witty,6.63636363636364,0.902137912878521,7.25,1.21,5.88711286174256,positive,social
105,,fluffy,1.0,0.0,7.11,1.29,2.41,positive,physical
247,,sunny,2.2,1.6431676725155,7.95,0.89,1.60841616374225,positive,physical
23,,blooming,2.0,1.22474487139159,7.19,1.25,1.357627564304205,positive,physical
103,,floral,2.0,1.73205080756888,7.42,1.3,1.19397459621556,positive,physical
189,,oceanic,2.27272727272727,1.60895760936843,7.45,1.26,1.1541575589521502,positive,physical
49,,decorative,2.28571428571429,1.60356745147455,7.52,1.47,1.0803591314055798,positive,physical
187,,nutritious,2.25,1.34164078649987,7.09,1.44,1.029179606750065,positive,physical
133,,homemade,2.4,1.94935886896179,7.38,1.02,1.005320565519105,positive,physical
211,,radiant,2.71428571428571,1.38013111868471,7.29,1.31,0.94279158351479,positive,physical
186,,newborn,2.25,1.73205080756888,7.48,1.69,0.9039745962155603,positive,physical
156,,insulting,6.8,0.447213595499958,1.89,0.94,1.7613932022500212,negative,social
119,,greedy,6.6,0.547722557505166,2.1,1.48,1.236138721247417,negative,social
122,,grumpy,6.8,0.447213595499958,2.81,1.25,1.146393202250021,negative,social
126,,heartbroken,6.1875,1.22304265393049,1.95,1.0,1.007228673034755,negative,social
210,,racist,6.63636363636364,0.924416277737175,2.05,1.69,0.9859736793132328,negative,social
77,,dreaded,6.0,1.09544511501033,2.11,1.33,0.7322774424948351,negative,social
140,,humiliating,6.36363636363636,1.176979772673,2.16,1.57,0.7283282954816799,negative,social
242,,stingy,6.57142857142857,1.13389341902768,2.53,1.47,0.7187675762004451,negative,social
153,,infuriating,6.27272727272727,1.00904995821903,2.63,1.21,0.71183865725412,negative,social
125,,hateful,6.09090909090909,1.92117388356939,1.9,0.91,0.6798676036698499,negative,social
