,Unnamed: 0,Word,ConcValCombo,Conc.M,Conc.SD,V.Mean.Sum,V.SD.Sum,Source,SUBTLWF,Valence,Concreteness,word_length,Task,F_value,J_value,Group
0,41,adverse,objective-negative,2.23,1.24,3.68,1.0,Perplexity,0.71,negative,neutral,7,SubjObj,objective,subjective,A
1,46,corrupt,objective-negative,2.03,1.24,3.0,1.74,Perplexity,5.31,negative,neutral,7,SubjObj,objective,subjective,A
2,2,bankrupt,objective-negative,3.24,1.55,2.21,1.27,ChatGPT,2.8,negative,neutral,8,SubjObj,objective,subjective,A
3,8,unstable,objective-negative,2.52,1.4,3.43,1.85,ChatGPT,5.1,negative,neutral,8,SubjObj,objective,subjective,A
4,6,deadly,objective-negative,2.7,1.38,1.9,1.17,ChatGPT,9.88,negative,neutral,6,SubjObj,objective,subjective,A
5,44,faulty,objective-negative,2.1,1.18,3.48,1.66,Perplexity,1.63,negative,neutral,6,SubjObj,objective,subjective,A
6,7,defective,objective-negative,2.56,1.22,3.52,1.83,ChatGPT,2.16,negative,neutral,9,SubjObj,objective,subjective,A
7,29,incurable,objective-negative,1.88,1.13,1.9,1.61,ChatGPT,1.02,negative,abstract,9,SubjObj,objective,subjective,A
8,4,toxic,objective-negative,3.13,1.39,2.35,1.27,ChatGPT,4.9,negative,neutral,5,SubjObj,objective,subjective,A
9,52,unfit,objective-negative,1.89,1.15,2.95,1.39,Perplexity,1.55,negative,abstract,5,SubjObj,objective,subjective,A
10,14,valuable,objective-positive,2.22,1.45,7.17,1.42,ChatGPT,15.59,positive,neutral,8,SubjObj,objective,subjective,A
11,27,accurate,objective-positive,1.9,1.18,7.42,1.57,both,7.84,positive,abstract,8,SubjObj,objective,subjective,A
12,28,accurate,objective-positive,1.9,1.18,7.42,1.57,both,7.84,positive,abstract,8,SubjObj,objective,subjective,A
13,54,reliable,objective-positive,1.86,1.21,7.3,1.34,Perplexity,5.9,positive,abstract,8,SubjObj,objective,subjective,A
14,21,effective,objective-positive,2.04,1.37,6.95,1.84,ChatGPT,10.51,positive,neutral,9,SubjObj,objective,subjective,A
15,30,efficient,objective-positive,1.82,1.02,6.95,1.32,both,4.96,positive,abstract,9,SubjObj,objective,subjective,A
16,31,efficient,objective-positive,1.82,1.02,6.95,1.32,both,4.96,positive,abstract,9,SubjObj,objective,subjective,A
17,1,healthy,objective-positive,3.31,1.38,7.76,1.58,ChatGPT,24.75,positive,neutral,7,SubjObj,objective,subjective,A
18,11,profitable,objective-positive,2.36,1.47,6.5,1.25,ChatGPT,2.45,positive,neutral,10,SubjObj,objective,subjective,A
19,20,successful,objective-positive,2.07,1.21,7.76,1.76,ChatGPT,20.33,positive,neutral,10,SubjObj,objective,subjective,A
20,12,annoying,subjective-negative,2.31,1.57,3.0,1.71,ChatGPT,11.12,negative,neutral,8,SubjObj,objective,subjective,A
21,24,pathetic,subjective-negative,1.97,1.22,3.11,1.41,ChatGPT,24.2,negative,abstract,8,SubjObj,objective,subjective,A
22,35,hopeless,subjective-negative,1.59,0.98,2.2,1.2,ChatGPT,8.94,negative,abstract,8,SubjObj,objective,subjective,A
23,45,arrogant,subjective-negative,2.07,1.25,2.52,1.29,Perplexity,5.22,negative,neutral,8,SubjObj,objective,subjective,A
24,26,pointless,subjective-negative,1.93,1.2,3.22,1.44,ChatGPT,3.59,negative,abstract,9,SubjObj,objective,subjective,A
25,37,impatient,subjective-negative,2.38,1.21,3.53,2.17,Perplexity,4.04,negative,neutral,9,SubjObj,objective,subjective,A
26,36,hostile,subjective-negative,2.62,1.18,2.35,1.18,Perplexity,8.94,negative,neutral,7,SubjObj,objective,subjective,A
27,51,selfish,subjective-negative,1.92,1.2,3.3,1.78,Perplexity,15.9,negative,abstract,7,SubjObj,objective,subjective,A
28,61,cynical,subjective-negative,1.64,0.99,3.3,1.45,Perplexity,3.67,negative,abstract,7,SubjObj,objective,subjective,A
29,15,disgusting,subjective-negative,2.21,1.47,2.27,1.42,ChatGPT,26.61,negative,neutral,10,SubjObj,objective,subjective,A
30,9,delicious,subjective-positive,2.43,1.55,7.38,1.83,ChatGPT,21.53,positive,neutral,9,SubjObj,objective,subjective,A
31,16,beautiful,subjective-positive,2.16,1.24,7.61,1.74,ChatGPT,279.73,positive,neutral,9,SubjObj,objective,subjective,A
32,19,brilliant,subjective-positive,2.07,1.25,7.5,2.28,ChatGPT,35.8,positive,neutral,9,SubjObj,objective,subjective,A
33,39,authentic,subjective-positive,2.31,1.37,6.91,1.63,Perplexity,4.51,positive,neutral,9,SubjObj,objective,subjective,A
34,55,admirable,subjective-positive,1.81,1.02,7.0,1.97,Perplexity,2.61,positive,abstract,9,SubjObj,objective,subjective,A
35,10,refreshing,subjective-positive,2.41,1.25,7.05,1.53,ChatGPT,3.67,positive,neutral,10,SubjObj,objective,subjective,A
36,22,harmonious,subjective-positive,2.04,1.16,7.7,1.22,ChatGPT,0.39,positive,neutral,10,SubjObj,objective,subjective,A
37,47,optimistic,subjective-positive,2.0,1.29,7.45,1.71,Perplexity,3.39,positive,abstract,10,SubjObj,objective,subjective,A
38,49,thoughtful,subjective-positive,1.96,1.37,7.26,1.45,Perplexity,7.8,positive,abstract,10,SubjObj,objective,subjective,A
39,64,passionate,subjective-positive,1.48,0.69,7.17,1.54,Perplexity,6.0,positive,abstract,10,SubjObj,objective,subjective,A
